Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
65630a27ed7a09c1aec5b783,5cdc111d8738880001d23c6e,APPROVED,2023-11-26T09:04:39.629000Z,2023-11-26T09:12:56.585000Z,2023-11-26T09:12:57.344000Z,2023-11-26T09:12:57.286327Z,497.0,C871QPIG,896,"English, German, Turkish",30,Male,White,Germany,Germany,Turkey,Turkish,No,Full-Time
65630b57c580f1305d0a4700,650aedaa58b090c87a187d80,APPROVED,2023-11-26T09:09:46.542000Z,2023-11-26T09:17:51.750000Z,2023-11-26T09:17:52.255000Z,2023-11-26T09:17:52.186793Z,486.0,C871QPIG,49,"English, German",22,Male,White,Germany,Germany,Germany,German,No,Other
65630ba9e817db3fa10a46db,63400c1f90bf977fdb7ec941,APPROVED,2023-11-26T09:11:05.332000Z,2023-11-26T09:20:25.124000Z,2023-11-26T09:20:25.764000Z,2023-11-26T09:20:25.701610Z,560.0,C871QPIG,176,"English, German",26,Male,White,United Kingdom,Germany,Germany,English,No,Full-Time
65630dd03999ef1271a17df7,5f14ae1200ee580bf5ace9d6,APPROVED,2023-11-26T09:20:16.268000Z,2023-11-26T09:28:52.670000Z,2023-11-26T09:28:53.227000Z,2023-11-26T09:28:53.162332Z,517.0,C871QPIG,753,"French, English, German",35,Male,White,Switzerland,Germany,Switzerland,French,No,Part-Time
65630dd539993ffa840e7332,58d4ebdec8677b0001a2107b,APPROVED,2023-11-26T09:20:23.517000Z,2023-11-26T09:30:41.993000Z,2023-11-26T09:30:42.477000Z,2023-11-26T09:30:42.415718Z,619.0,C871QPIG,1861,"English, Polish, German",38,Male,White,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
65630def43463427fd171143,65465d19298a36a497508d04,APPROVED,2023-11-26T09:20:52.703000Z,2023-11-26T09:26:01.042000Z,2023-11-26T09:26:01.642000Z,2023-11-26T09:26:01.577497Z,309.0,C871QPIG,29,"English, German",19,Female,Asian,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
65630e11e4e979a116eeec21,64eb4cae55d71c80683a138a,APPROVED,2023-11-26T09:21:21.078000Z,2023-11-26T09:29:52.768000Z,2023-11-26T09:29:53.294000Z,2023-11-26T09:29:53.234474Z,512.0,C871QPIG,14,German,38,Male,White,Poland,Germany,Germany,German,No,Full-Time
65630e55ed7a09c1aec5b7c9,64fdee2b969a06603ae3226d,APPROVED,2023-11-26T09:22:29.711000Z,2023-11-26T09:30:58.176000Z,2023-11-26T09:30:58.780000Z,2023-11-26T09:30:58.704330Z,509.0,C871QPIG,108,"Vietnamese, English, German",21,Male,Asian,Vietnam,Germany,Vietnam,Vietnamese,Yes,Unemployed (and job seeking)
65630e59d1d5261a1559f5a1,627beb0707c13ea6d38b3eaa,APPROVED,2023-11-26T09:22:36.725000Z,2023-11-26T09:28:13.646000Z,2023-11-26T09:28:14.165000Z,2023-11-26T09:28:14.098155Z,337.0,C871QPIG,258,"German, English",27,Female,White,Germany,Germany,Germany,German,Yes,Other
65630ec3e817db3fa10a472d,6550dd36abf6cccaa5bace83,APPROVED,2023-11-26T09:24:19.722000Z,2023-11-26T09:32:31.304000Z,2023-11-26T09:32:31.847000Z,2023-11-26T09:32:31.783923Z,492.0,C871QPIG,21,"English, German, Laotian",22,Male,Asian,Germany,Germany,Germany,German,No,Full-Time
65630f53e859fe9d4d59f470,6526b4db08c36959a00e69c4,APPROVED,2023-11-26T09:26:48.580000Z,2023-11-26T09:51:07.789000Z,2023-11-26T09:51:08.314000Z,2023-11-26T09:51:08.256940Z,1460.0,C871QPIG,52,"English, German, Turkish",39,Male,White,Turkey,Germany,Turkey,Turkish,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65630f86bbbe0dc4b89aeb32,6516d9bb4dd1c665709ed88a,APPROVED,2023-11-26T09:27:34.937000Z,2023-11-26T09:34:21.918000Z,2023-11-26T09:34:25.482000Z,2023-11-26T09:34:22.416633Z,407.0,C871QPIG,46,"English, German",23,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
65630f94856d40cf24171608,6517299ba3d7cde45394692a,APPROVED,2023-11-26T09:29:32.475000Z,2023-11-26T09:40:30.239000Z,2023-11-26T09:40:30.806000Z,2023-11-26T09:40:30.740690Z,658.0,C871QPIG,21,"English, French, German, Russian, Turkish",19,Female,Mixed,Turkey,Germany,Turkey,Turkish,Yes,Part-Time
65630fce2d4f1e21cfc801c3,654108e8f80e9bb9d47d0624,AWAITING REVIEW,2023-11-26T09:28:49.340000Z,2023-11-26T09:37:35.195000Z,,2023-11-26T09:37:35.641841Z,526.0,NOCODE,19,"English, German",23,Female,Mixed,Germany,Germany,Germany,German,Yes,Part-Time
65630fef6e267d7a7ead5509,5a74e93feea3d300016dd8ca,APPROVED,2023-11-26T09:29:19.879000Z,2023-11-26T09:34:50.578000Z,2023-11-26T09:34:51.163000Z,2023-11-26T09:34:51.105464Z,331.0,C871QPIG,1764,"German, English",33,Male,White,Germany,Germany,Germany,German,No,Full-Time
65630ff35fcdc784f8a93cf0,62c420a506940fa5ca499e68,APPROVED,2023-11-26T09:29:25.686000Z,2023-11-26T09:40:12.046000Z,2023-11-26T09:40:12.603000Z,2023-11-26T09:40:12.539855Z,647.0,C871QPIG,168,"English, German",32,Male,White,Germany,Germany,Germany,German,No,Full-Time
65630ff46a40b026d0faddf1,5bf3199ebe7c7300017b710a,APPROVED,2023-11-26T09:29:28.722000Z,2023-11-26T09:38:12.468000Z,2023-11-26T09:38:13.073000Z,2023-11-26T09:38:13.015981Z,524.0,C871QPIG,1151,"English, German",40,Male,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
65630fff49d17889d8a5f9c0,60fd5d982789160769f1ba94,APPROVED,2023-11-26T09:29:39.333000Z,2023-11-26T09:37:34.477000Z,2023-11-26T09:37:36.021000Z,2023-11-26T09:37:35.106954Z,476.0,C871QPIG,939,German,46,Male,White,Germany,Germany,Germany,German,No,Full-Time
65631032c580f1305d0a476f,6516d4029952afb87476bf34,APPROVED,2023-11-26T09:30:58.992000Z,2023-11-26T09:41:14.680000Z,2023-11-26T09:41:15.226000Z,2023-11-26T09:41:15.161860Z,616.0,C871QPIG,41,"English, German",35,Prefer not to say,White,Germany,Germany,Germany,German,Yes,Full-Time
65631034e817db3fa10a4754,6554d1f1fda70c02063f51bd,APPROVED,2023-11-26T09:30:28.925000Z,2023-11-26T09:48:41.792000Z,2023-11-26T09:48:42.429000Z,2023-11-26T09:48:42.350850Z,1093.0,C871QPIG,17,German,62,Female,White,Germany,Germany,Germany,German,No,Part-Time
656310435b002a6ce8e419b9,6516edcfb2b8ee9aee7c13c6,APPROVED,2023-11-26T09:30:43.404000Z,2023-11-26T09:38:55.148000Z,2023-11-26T09:38:57.165000Z,2023-11-26T09:38:55.661016Z,492.0,C871QPIG,58,"English, German",22,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
6563104c7b0bdeeb9e5a9c4d,651eb490746d8f0ea8134f75,APPROVED,2023-11-26T09:30:56.301000Z,2023-11-26T09:36:17.259000Z,2023-11-26T09:36:20.353000Z,2023-11-26T09:36:17.708126Z,321.0,C871QPIG,25,"English, German",22,Female,White,Germany,Germany,Germany,German,Yes,Other
65631061572a43531c59de92,6557785b1be67cd550bfd106,APPROVED,2023-11-26T09:31:13.155000Z,2023-11-26T09:41:15.077000Z,2023-11-26T09:41:20.583000Z,2023-11-26T09:41:15.500672Z,602.0,C871QPIG,4,"German, English",18,Male,White,Germany,Germany,Germany,German,Yes,DATA_EXPIRED
65631081ccad598917c99367,650c2a3e5ae50ab8668448de,APPROVED,2023-11-26T09:31:45.111000Z,2023-11-26T09:39:19.852000Z,2023-11-26T09:39:20.374000Z,2023-11-26T09:39:20.290260Z,455.0,C871QPIG,78,"English, German",29,Male,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
65631096b4b0db6dc1a178c2,65170d2924df1aca5e1b075b,APPROVED,2023-11-26T09:33:54.063000Z,2023-11-26T09:42:20.345000Z,2023-11-26T09:42:21.568000Z,2023-11-26T09:42:21.502489Z,507.0,C871QPIG,107,"English, German",30,Male,White,Germany,Germany,Germany,German,No,Full-Time
656310aaae2f0355e17aa503,63d02bd28e37a2abe1006c61,APPROVED,2023-11-26T09:36:06.910000Z,2023-11-26T09:41:34.539000Z,2023-11-26T09:41:35.207000Z,2023-11-26T09:41:35.149945Z,328.0,C871QPIG,165,"English, German, Polish",21,Male,White,Poland,Germany,Poland,Polish,No,Full-Time
656310e5e4e979a116eeec76,6544ea06d33e1704f993f76f,APPROVED,2023-11-26T09:33:25.809000Z,2023-11-26T09:40:19.934000Z,2023-11-26T09:40:20.485000Z,2023-11-26T09:40:20.409651Z,415.0,C871QPIG,31,"German, English",18,Male,White,Germany,Germany,Germany,German,Yes,Other
6563110200a3010a73a4e0c6,648099f11700d769a2e9034a,APPROVED,2023-11-26T09:33:54.276000Z,2023-11-26T09:44:05.623000Z,2023-11-26T09:44:06.137000Z,2023-11-26T09:44:06.072580Z,612.0,C871QPIG,310,"English, French, German",38,Male,Mixed,Germany,Germany,Germany,German,No,Full-Time
6563110bae9f62c99fa4e176,652be2a3d96abb74680d9609,APPROVED,2023-11-26T09:34:35.948000Z,2023-11-26T09:47:15.934000Z,2023-11-26T09:47:16.504000Z,2023-11-26T09:47:16.438426Z,760.0,C871QPIG,12,"English, German",45,Male,White,Turkey,Germany,Turkey,Turkish,No,Full-Time
65631111856d40cf24171625,651998fcfccf8981620ae34c,APPROVED,2023-11-26T09:34:09.506000Z,2023-11-26T09:43:55.453000Z,2023-11-26T09:43:55.946000Z,2023-11-26T09:43:55.875969Z,586.0,C871QPIG,43,"German, English",21,Prefer not to say,White,Germany,Germany,Germany,German,No,Full-Time
6563111b3bc246c47feeed2e,5b92fef3754b700001f01947,APPROVED,2023-11-26T09:34:19.429000Z,2023-11-26T09:42:33.322000Z,2023-11-26T09:42:38.846000Z,2023-11-26T09:42:33.759853Z,494.0,C871QPIG,500,"English, German",58,Female,White,Germany,Germany,Germany,German,No,Part-Time
656311268fbbc31e12424486,6503144bcc000df7879d9637,APPROVED,2023-11-26T09:34:36.338000Z,2023-11-26T09:46:50.333000Z,2023-11-26T09:46:50.902000Z,2023-11-26T09:46:50.829903Z,734.0,C871QPIG,114,"English, German, Russian",32,Male,White,Kazakhstan,Germany,Germany,German,No,Full-Time
6563112b3bc246c47feeed32,5e6a3e3d265930022e81c70b,APPROVED,2023-11-26T09:34:53.222000Z,2023-11-26T09:43:20.595000Z,2023-11-26T09:43:21.199000Z,2023-11-26T09:43:21.136495Z,508.0,C871QPIG,1777,German,29,Male,White,Kazakhstan,Germany,Germany,German,No,Unemployed (and job seeking)
65631149c8002ad2e44b7ffb,5f1715072b20d0020b0e383c,APPROVED,2023-11-26T09:35:05.516000Z,2023-11-26T09:40:49.779000Z,2023-11-26T09:40:50.390000Z,2023-11-26T09:40:50.328152Z,345.0,C871QPIG,692,"English, German",23,Male,White,Germany,Germany,Germany,German,No,Full-Time
6563116ec580f1305d0a4792,653fe91f47b8faca70735f57,APPROVED,2023-11-26T09:37:28.531000Z,2023-11-26T09:44:58.063000Z,2023-11-26T09:44:58.575000Z,2023-11-26T09:44:58.503098Z,450.0,C871QPIG,16,"English, German",31,Male,White,Germany,Germany,Germany,German,No,Full-Time
6563117d07bb3c72f8a741c5,651311510abdac9c5b9c6c4b,APPROVED,2023-11-26T09:37:39.991000Z,2023-11-26T09:43:04.999000Z,2023-11-26T09:43:05.642000Z,2023-11-26T09:43:05.584369Z,326.0,C871QPIG,106,"German, English",25,Female,White,Germany,Germany,Germany,German,No,Full-Time
6563119127dc5d95e0cabf6d,654e43ed2ef4c1bac3dfe00e,APPROVED,2023-11-26T09:36:26.306000Z,2023-11-26T09:56:40.394000Z,2023-11-26T09:56:40.960000Z,2023-11-26T09:56:40.890081Z,1215.0,C871QPIG,10,"Croatian, Bulgarian, English, German, Macedonian, Serbian",43,Female,White,Macedonia,Germany,Macedonia,Macedonian,No,Full-Time
656311922d4f1e21cfc801ef,6516d3c10cc8996984d514f4,APPROVED,2023-11-26T09:36:21.156000Z,2023-11-26T09:42:32.835000Z,2023-11-26T09:42:33.426000Z,2023-11-26T09:42:33.361243Z,372.0,C871QPIG,14,"English, German",28,Male,Black,Nigeria,Germany,Nigeria,English,Yes,Part-Time
65631209f6b4756ac64c503f,654a76de0874380f590ca432,APPROVED,2023-11-26T09:38:20.603000Z,2023-11-26T09:49:24.792000Z,2023-11-26T09:49:25.328000Z,2023-11-26T09:49:25.268694Z,665.0,C871QPIG,21,"English, German",31,Male,White,Australia,Germany,Australia,English,No,Full-Time
65631215d1d5261a1559f625,6517fb8c213462dc2254c0b1,APPROVED,2023-11-26T09:38:35.872000Z,2023-11-26T09:46:01.066000Z,2023-11-26T09:46:01.560000Z,2023-11-26T09:46:01.497135Z,446.0,C871QPIG,25,"English, German",18,Female,White,Germany,Germany,Germany,German,Yes,Other
6563122f41c205e47205c478,6429682ff18d08f9eed7d9e7,APPROVED,2023-11-26T09:39:11.199000Z,2023-11-26T09:48:58.506000Z,2023-11-26T09:48:58.964000Z,2023-11-26T09:48:58.903235Z,588.0,C871QPIG,337,"English, German, Spanish",24,Male,White,Germany,Germany,Germany,German,Yes,Full-Time
656312467bcd810f66b371d6,627bbf69ab2788507bc421a2,APPROVED,2023-11-26T09:39:39.125000Z,2023-11-26T09:52:08.530000Z,2023-11-26T09:52:09.053000Z,2023-11-26T09:52:08.976924Z,750.0,C871QPIG,1176,"English, German",36,Male,White,Germany,Germany,Germany,German,No,DATA_EXPIRED
65631248e2a7fcf034bf541b,634693f87e70324e7a523b6d,APPROVED,2023-11-26T09:39:23.452000Z,2023-11-26T09:46:13.640000Z,2023-11-26T09:46:14.187000Z,2023-11-26T09:46:14.118844Z,411.0,C871QPIG,631,"English, German",26,Male,Mixed,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
656312596a40b026d0fade1c,654b4a0e936bc8d3c57bfbf0,APPROVED,2023-11-26T09:39:42.096000Z,2023-11-26T09:49:55.296000Z,2023-11-26T09:49:55.782000Z,2023-11-26T09:49:55.720213Z,614.0,C871QPIG,29,"English, German",52,Male,White,Germany,Germany,Germany,German,No,Full-Time
656312b5ba9e145a221eee59,65391c7ecf65866247606910,APPROVED,2023-11-26T09:41:09.527000Z,2023-11-26T09:49:14.102000Z,2023-11-26T09:49:14.630000Z,2023-11-26T09:49:14.569710Z,485.0,C871QPIG,54,"English, German",32,Male,White,Germany,Germany,Germany,German,No,Part-Time
656312d094d42b4d11185920,5d43c606773d8b00016eaa8a,APPROVED,2023-11-26T09:41:41.263000Z,2023-11-26T09:49:23.742000Z,2023-11-26T09:49:24.307000Z,2023-11-26T09:49:24.243569Z,463.0,C871QPIG,1656,"German, English",51,Female,White,Germany,Germany,Germany,German,DATA_EXPIRED,DATA_EXPIRED
656312d17b0bdeeb9e5a9c81,63c0157fbc63b6511d336764,APPROVED,2023-11-26T09:41:44.459000Z,2023-11-26T09:50:40.080000Z,2023-11-26T09:50:40.715000Z,2023-11-26T09:50:40.654702Z,536.0,C871QPIG,674,"English, German",44,Female,White,Germany,Germany,Germany,German,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
656312e3d1d5261a1559f637,63c658437791ac7be49f06e9,APPROVED,2023-11-26T09:41:57.809000Z,2023-11-26T09:51:43.632000Z,2023-11-26T09:51:44.172000Z,2023-11-26T09:51:44.110588Z,586.0,C871QPIG,445,"English, German",26,Male,Mixed,Germany,Germany,Germany,German,No,Unemployed (and job seeking)
656312ed00a3010a73a4e0f4,5bfe8696ee43d800010a6fc7,APPROVED,2023-11-26T09:42:09.476000Z,2023-11-26T09:48:20.681000Z,2023-11-26T09:48:21.341000Z,2023-11-26T09:48:21.272367Z,372.0,C871QPIG,1129,"English, German",39,Male,White,Germany,Germany,Germany,German,No,Full-Time
6563130aaf788989fed64bba,6557923d4a9cc0c7d81cd60d,APPROVED,2023-11-26T09:49:20.401000Z,2023-11-26T10:06:55.719000Z,2023-11-26T10:06:56.308000Z,2023-11-26T10:06:56.225444Z,1056.0,C871QPIG,7,"Spanish, Turkish, English, German",29,Male,Other,Turkey,Germany,Turkey,Turkish,No,DATA_EXPIRED
65631334ae9f62c99fa4e1c4,5aad4225811b2000016f6ed1,APPROVED,2023-11-26T09:43:20.078000Z,2023-11-26T09:48:48.745000Z,2023-11-26T09:48:49.222000Z,2023-11-26T09:48:49.164748Z,329.0,C871QPIG,812,"German, English",35,Male,White,Germany,Germany,Germany,German,No,Full-Time
65631353e2a7fcf034bf543e,6524e0ef44178670528207b7,APPROVED,2023-11-26T09:43:53.590000Z,2023-11-26T09:57:01.984000Z,2023-11-26T09:57:02.625000Z,2023-11-26T09:57:02.561714Z,789.0,C871QPIG,3,"English, German, Turkish",23,Female,White,Turkey,Germany,Turkey,Turkish,Yes,Other
6563135694d42b4d11185932,650a5cc55e8ddf8bae0b81fb,APPROVED,2023-11-26T09:43:53.483000Z,2023-11-26T09:50:57.599000Z,2023-11-26T09:50:58.205000Z,2023-11-26T09:50:58.144762Z,425.0,C871QPIG,21,"English, German",38,Male,White,Germany,Germany,Germany,German,Yes,Other
6563136d7bcd810f66b371fd,64e22485c19a225678fe290a,APPROVED,2023-11-26T09:44:13.148000Z,2023-11-26T09:48:55.382000Z,2023-11-26T09:48:55.935000Z,2023-11-26T09:48:55.868075Z,283.0,C871QPIG,57,"Albanian, Croatian, English, German, Hungarian, Russian, Serbian",27,Female,White,Germany,Germany,Germany,German,Yes,Part-Time
6563137e58fc1a6958660307,652156df21a8be7bb4c6f4e7,APPROVED,2023-11-26T09:45:53.587000Z,2023-11-26T09:53:07.370000Z,2023-11-26T09:53:08.022000Z,2023-11-26T09:53:07.957350Z,434.0,C871QPIG,78,"English, French, German",20,Female,White,Germany,Germany,Germany,German,Yes,Unemployed (and job seeking)
6563138b412013dde08ac295,6537bffb9ed896131eedd7ee,APPROVED,2023-11-26T09:44:43.962000Z,2023-11-26T09:58:28.305000Z,2023-11-26T09:58:28.857000Z,2023-11-26T09:58:28.796951Z,825.0,C871QPIG,48,"German, Turkish, English",37,Male,White,Turkey,Germany,Turkey,Turkish,Yes,Full-Time
65631397163e4c5a24c992a0,655b71b984cee8a3fc6bf6bf,APPROVED,2023-11-26T09:45:01.400000Z,2023-11-26T09:54:02.801000Z,2023-11-26T09:54:03.523000Z,2023-11-26T09:54:03.453519Z,542.0,C871QPIG,6,"English, German",24,Female,White,Germany,Germany,Germany,German,Yes,Full-Time
6563139fba9e145a221eee73,65410b3f1de864e712bb267d,APPROVED,2023-11-26T09:45:16.009000Z,2023-11-26T09:57:13.710000Z,2023-11-26T09:57:14.215000Z,2023-11-26T09:57:14.154525Z,718.0,C871QPIG,34,"German, English",27,Male,White,Germany,Germany,Germany,German,Yes,Other
656313b9572a43531c59def4,653fc00ad90fb3551c4b594b,APPROVED,2023-11-26T09:46:51.515000Z,2023-11-26T09:54:46.925000Z,2023-11-26T09:54:47.445000Z,2023-11-26T09:54:47.385628Z,476.0,C871QPIG,38,"German, English",21,Male,White,Germany,Germany,Germany,German,Yes,Part-Time
656313d17389aac2354b82c9,64e220abe394efe48bfe28f8,APPROVED,2023-11-26T09:50:42.283000Z,2023-11-26T09:58:15.165000Z,2023-11-26T09:58:15.774000Z,2023-11-26T09:58:15.710568Z,453.0,C871QPIG,148,"English, German",24,Female,White,Germany,Germany,Germany,German,No,Part-Time
656313d404ff9019381eeba2,651c156832b59e401c711c6f,APPROVED,2023-11-26T09:46:00.517000Z,2023-11-26T09:53:07.958000Z,2023-11-26T09:53:13.491000Z,2023-11-26T09:53:08.417793Z,428.0,C871QPIG,59,"English, German",18,Male,White,Germany,Germany,Germany,German,Yes,Other
656313dc0a29143ccea93c82,6505b19314eb42b422d59509,APPROVED,2023-11-26T09:47:33.972000Z,2023-11-26T09:53:54.125000Z,2023-11-26T09:53:54.649000Z,2023-11-26T09:53:54.575679Z,381.0,C871QPIG,24,"English, German",27,Male,White,Germany,Germany,Germany,German,No,Full-Time
656313e2175724ea7f185988,5e5fbff6de7bcc2fc7f396db,APPROVED,2023-11-26T09:46:14.029000Z,2023-11-26T09:54:08.098000Z,2023-11-26T09:54:08.568000Z,2023-11-26T09:54:08.512449Z,475.0,C871QPIG,1815,"German, English, Greek",29,Female,White,Germany,Germany,Germany,German,No,Full-Time
656313f6ccad598917c993ce,63eb514012c203a7a2146262,APPROVED,2023-11-26T09:46:33.959000Z,2023-11-26T09:52:18.954000Z,2023-11-26T09:52:19.586000Z,2023-11-26T09:52:19.500710Z,345.0,C871QPIG,284,"English, German",27,Male,White,Germany,Germany,Germany,English,No,Part-Time
